"Observed size"
10.88
10.95
10.84
17.27
19.21
18.54
18.02
24.73
19.37
22.07
11.27
11.11
11.47
16.23
14.41
14.65
17.66
19.57
15.00
16.15
11.71
24.81
19.49
11.71
18.57
10.95
20.00
20.36
22.03
22.78
21.43
11.19
11.15
18.89
18.06
11.43
11.19
11.55
11.27
16.55
18.30
16.79
11.07
11.39
11.55
22.74
11.07
11.63
11.23
12.34
11.71
12.50
12.34
16.23
17.27
18.65
18.89
21.63
22.35
11.39
